9153048;zhangbolily;642;59936802
9153048;zhangbolily;624;59936802
29225002;azcase;608;93495346
25677728;at2012;605;111199594
33484317;Takenote8132;603;115398707
34973682;lvnkae;603;115835197
16367654;hokagekaede;599;48319849
28560251;min1124;579;93035261
23497577;vinny172;577;84664172
23497577;vinny172;577;84664172
30396576;sinn144;573;102249665
7299601;yusian;563;119478839
33140376;arashihojo;563;108984498
7299601;yusian;561;119478839
26193304;Wonderful99668;561;84320282
5183414;shinokaro;559;116727349
33140376;arashihojo;559;108984498
2010586;sunbird668;556;5121255
16367654;hokagekaede;554;48319849
16367654;hokagekaede;551;48319849
